Name,City,Region,Notes,Parent Organization,Technology Focus,Diversity Focus,Twitter,URL,organization_logo_url (from Parent Organization)
6° Webinar Cloud Girls,,Brazil,,,General Technology,Women,,,
Atlanta Latinas in Tech,"Atlanta, Georgia",AMER-East,,Latinas in Tech,General Technology,"Latinx,Women",,https://www.latinasintech.org/chapter/atlanta,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Austin Latinas in Tech,"Austin, Texas",AMER-C-South,,Latinas in Tech,General Technology,"Latinx,Women",,https://www.latinasintech.org/chapter/austin,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
BDPA DC,"Washington, DC",AMER-East,,Black Data Processing Association,General Technology,BIPOC,@bdpadc,https://bdpadc.org,https://bdpa.org/wp-content/uploads/2020/07/bdpa_logo_medium.png
BDPA Indianapolis,"Indianapolis, Indiana",AMER-C-North,,Black Data Processing Association,General Technology,BIPOC,@BDPA_INDY,http://www.bdpa-indy.org,https://bdpa.org/wp-content/uploads/2020/07/bdpa_logo_medium.png
BDPA Twin Cities,"Minneapolis, Minnesota",AMER-C-North,,Black Data Processing Association,General Technology,BIPOC,@BDPATwinCities,http://BDPATC.ORG,https://bdpa.org/wp-content/uploads/2020/07/bdpa_logo_medium.png
Black Girls Code - Bay Area,"San Francisco, California",AMER - West,,Black Girls Code,"General Technology,Youth Education","Women,BIPOC",,,https://pbs.twimg.com/profile_images/2297324103/wzb29iynqzcgp2btrnya_400x400.jpeg
Black Girls Code - Boston,"Boston, Massachusetts",AMER-East,,Black Girls Code,"General Technology,Youth Education",BIPOC,,,https://pbs.twimg.com/profile_images/2297324103/wzb29iynqzcgp2btrnya_400x400.jpeg
Black Girls Code - Dallas,"Dallas, Texas",AMER-C-South,,Black Girls Code,"General Technology,Youth Education","Women,BIPOC",,,https://pbs.twimg.com/profile_images/2297324103/wzb29iynqzcgp2btrnya_400x400.jpeg
Black Girls Code - Houston,"Houston, Texas",AMER-C-South,,Black Girls Code,"General Technology,Youth Education","Women,BIPOC",,https://womakerscode.org/home,https://pbs.twimg.com/profile_images/2297324103/wzb29iynqzcgp2btrnya_400x400.jpeg
Black Girls Code - Seattle,"Seattle, Washington",AMER - West,,Black Girls Code,"General Technology,Youth Education","Women,BIPOC",,,https://pbs.twimg.com/profile_images/2297324103/wzb29iynqzcgp2btrnya_400x400.jpeg
"Black Girls Code - Washington, DC","Washington, DC",AMER-East,,Black Girls Code,"General Technology,Youth Education",BIPOC,,,https://pbs.twimg.com/profile_images/2297324103/wzb29iynqzcgp2btrnya_400x400.jpeg
Blacks In Tech - SD,"San Diego, California",AMER - West,,Blacks in Tech,General Technology,BIPOC,@BiT_SanDiego,,https://pbs.twimg.com/profile_images/701958990343745536/fXs6qY9t_400x400.jpg
Blacks In Technology NYC,"New York City, New York",AMER-East,,Blacks in Tech,General Technology,BIPOC,@BlacksInTechNYC,https://www.bitnyc.org,https://pbs.twimg.com/profile_images/701958990343745536/fXs6qY9t_400x400.jpg
Blerd - Black Nerds in Colorado,"Denver, Colorado",AMER - West,"Blerd Colorado is a community of black & brown people who work in tech now or hope to in the future. It's where black nerds (aka ""blerds"") come for personal and professional development, to start something, find support, and make friends. 
 - Phoebe connected to Mukai Matsiga and has emailed with Royce before",,General Technology,BIPOC, ,https://www.meetup.com/blerd-colorado/,
Boston Latinas in Tech,"Boston, Massachusetts",AMER-East,,Latinas in Tech,General Technology,"Latinx,Women",,https://www.latinasintech.org/chapter/boston,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Canada Latinas in Tech,"Toronto, Canada",NASA-Canada-East,,Latinas in Tech,General Technology,"Latinx,Women",,https://www.latinasintech.org/chapter/canada,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Chicago Latinas in Tech,"Chicago, Illinoise",AMER-C-North,,Latinas in Tech,General Technology,"Latinx,Women",,https://www.latinasintech.org/chapter/chicago,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Dallas Fort-Worth Latinas in Tech,"Dallas, Texas",AMER-C-South,,Latinas in Tech,General Technology,"Latinx,Women",,https://www.latinasintech.org/chapter/dallas-fort-worth,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Django Girls ATX,"Austin, Texas",AMER-C-South,,Django Girls,"Django,Python",Women,@DjangoGirlsATX,http://djangogirls.org/austin/,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
Django Girls Belfast,"Belfast, Northern Ireland",EMEA-UKN,,Django Girls,"Django,Python",Women,@djangogirlsbel,http://djangogirls.org/belfast,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
Django Girls Berlin,"Berlin, Germany",EMEA-C,,Django Girls,"Django,Python",Women,@djangogirlsblin,http://djangogirls.org/berlin,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
Django Girls BLR,"Bangalore, India",APJ-India/Pakistan,,Django Girls,"Django,Python",Women,@DjangoGirlsBLR,http://bangalore.djangogirls.org,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
Django Girls Dublin,"Dublin, Ireland",EMEA-UKN,,Django Girls,"Django,Python",Women,@DjangoGirlsDUB,http://djangogirls.org/dublin,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
Django Girls Groningen,"Groningen, Netherlands",NL,,Django Girls,"Django,Python",Women,@djangogirlsGR,http://djangogirls.org/groningen,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
Django Girls IE,"San Bernardino, California",AMER - West,,Django Girls,"Django,Python",Women,@DjangoGirlsIE,https://djangogirls.org/inlandempire/,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
Django Girls Lahore,"Lahore, Pakistan",APJ-India/Pakistan,,Django Girls,"Django,Python",Women,@djangogirlsLHR,https://djangogirls.org/lahore,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
Django Girls Leipzig,"Leipzig, Germany",EMEA-C,,Django Girls,"Django,Python",Women,@DjangoGirlsLE,http://www.djangogirls.org/leipzig,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
Django Girls LJ,"Ljubljana, Slovenia",EMEA-C,,Django Girls,"Django,Python",Women,@DjangoGirlsLJ,http://djangogirls.org/ljubljana,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
Django Girls London,"London, England",EMEA-UKN,,Django Girls,"Django,Python",Women,@DjangoGirlsLDN,http://djangogirls.org/london/,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
Django Girls Maceió,"Maceió, Brazil",NASA-Latam,,Django Girls,"Django,Python",Women,@djangogirlsmcz,http://djangogirls.org/maceio,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
Django Girls MK,"Milton Keynes, England",EMEA-UKN,,Django Girls,"Django,Python",Women,@DjangoGirlsMK,https://djangogirls.org/miltonkeynes/,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
Django Girls Mostar,"Mostar, Bosnia-Hergovenia",EMEA-C,,Django Girls,"Django,Python",Women,@DjangoGirlsBiH,https://djangogirls.org,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
Django Girls Niterói,"Rio De Janeiro, Brazil",NASA-Latam,,Django Girls,"Django,Python",Women,@DjangoGirlsNIT,https://djangogirls.org/niteroi/,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
Django Girls Paris,"Paris, France",EMEA-S,,Django Girls,"Django,Python",Women,@DjangoGirlsPar,http://djangogirls.org/paris4/,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
Django Girls PDX,"Portland, Oregon",AMER - West,,Django Girls,"Django,Python",Women,@DjangoGirlsPDX,https://djangogirls.org/portland/,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
Django Girls Prague,"Prague, Czech Republic",EMEA-C,,Django Girls,"Django,Python",Women,@djangogirlsprg,http://djangogirls.org/prague/,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
Django Girls SD,"San Diego, California",AMER - West,,Django Girls,"Django,Python",Women,@DjangoGirlsSD,https://djangogirls.org/,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
Django Girls Seoul,"Seoul, South Korea",APJ-Korea,,Django Girls,"Django,Python",Women,@DjangoGirlSeoul,https://www.facebook.com/djangogirlsseoul,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
Django Girls Sheffield,"Sheffeild, Illinoise",EMEA-UKN,,Django Girls,"Django,Python",Women,@djangogirlsshef,http://djangogirls.org/sheffield,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
Django Girls Vienna,"Vienna, Austria",EMEA-C,,Django Girls,"Django,Python",Women,@djangogirls_vie,http://djangogirls.com/vienna,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
DjangoGirls Budapest,"Budapest, Hungary",EMEA-C,,Django Girls,"Django,Python",Women,@djangogirls_BP,http://djangogirls.org/budapest/,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
DjangoGirls Harare,"Harare, Zimbabwe",EMEA-UKN,,Django Girls,"Django,Python",Women,@djangogirlsHAR,https://djangogirls.org/harare,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
DjangoGirls KC,"Kansas City, Kansas",AMER-C-South,,Django Girls,"Django,Python",Women,@DjangoGirlsKC,https://djangogirls.org/kansascity,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
DjangoGirls PyCon UK,"London, England",EMEA-UKN,,Django Girls,"Django,Python",Women,@DjangoGirlsPyUK,https://djangogirls.org/pyconuk/,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
DjangoGirls Windhoek,"Windhoek, Namibia",EMEA-UKN,,Django Girls,"Django,Python",Women,@DjangoGirlsWIN,https://djangogirls.org/windhoek/,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
DjangoGirlsBarcelona,"Barcelona, Spain",EMEA-S,,Django Girls,"Django,Python",Women,@DjangoGirlsBCN,https://djangogirls.org/barcelona/,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
DjangoGirlsMcr,"Manchester, England",EMEA-UKN,,Django Girls,"Django,Python",Women,@DjangoGirlsMcr,https://djangogirls.org/manchester/,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
DjangoGirlsOXF,"Oxford, England",EMEA-UKN,,Django Girls,"Django,Python",Women,@DjangoGirlsOXF,https://djangogirls.org/oxford/,https://pbs.twimg.com/profile_images/474213835859951617/4vabKlGs_400x400.png
GDI Los Angeles,"Los Angeles, California",AMER - West,,Girl Develop It!,Youth Education,Women,@girlDevelopItLA,http://girldevelopit.com/chapters/los-angeles,https://pbs.twimg.com/profile_images/1233176122205986816/zbZAFJrJ_400x400.jpg
GDI LV,"Las Vegas, Nevada",AMER - West,,Girl Develop It!,Youth Education,Women,@GDILV,http://www.girldevelopit.com/chapters/lehigh-valley,https://pbs.twimg.com/profile_images/1233176122205986816/zbZAFJrJ_400x400.jpg
Girl Develop It! Houston,"Houston, Texas",AMER-C-South,,Girl Develop It!,Youth Education,Women,@gdihouston,http://girldevelopit.com/,https://pbs.twimg.com/profile_images/1233176122205986816/zbZAFJrJ_400x400.jpg
GirlDevelopIt Bmore,"Baltimore, Maryland",AMER-East,,Girl Develop It!,Youth Education,Women,@gdibaltimore,http://www.meetup.com/Girl-Develop-It-Baltimore/,https://pbs.twimg.com/profile_images/1233176122205986816/zbZAFJrJ_400x400.jpg
GirlDevelopIt Camden,"Camden, New Jersey",AMER-East,,Girl Develop It!,Youth Education,Women,@gdicamden,https://www.meetup.com/Girl-Develop-It-Camden/,https://pbs.twimg.com/profile_images/1233176122205986816/zbZAFJrJ_400x400.jpg
GirlDevelopIt DC,"Washington, DC",AMER-East,,Girl Develop It!,Youth Education,Women,@girldevelopitDC,http://www.meetup.com/Girl-Develop-It-DC/,https://pbs.twimg.com/profile_images/1233176122205986816/zbZAFJrJ_400x400.jpg
GirlDevelopIt VA,"Richmond, Virginia",AMER-East,,Girl Develop It!,Youth Education,Women,@GDICentralVA,http://www.meetup.com/Girl-Develop-It-CentralVA,https://pbs.twimg.com/profile_images/1233176122205986816/zbZAFJrJ_400x400.jpg
GirlDevelopIt-Bucks,"Bucks County, Pennsylvania",AMER-East,,Girl Develop It!,Youth Education,Women,@gdiBucksCounty,https://www.facebook.com/gdibucks?ref=hl,https://pbs.twimg.com/profile_images/1233176122205986816/zbZAFJrJ_400x400.jpg
Girls Who Code Akron,"Akron, Ohio",AMER-East,,Girls Who Code,Youth Education,Women,@GirlsWhoCodeAK,https://www.facebook.com/groups/1796349230604392/,https://pbs.twimg.com/profile_images/1256217094745657344/G8Byq6Ws_400x400.jpg
Girls Who Code Blake,,,,Girls Who Code,Youth Education,Women,@GirlsWhoCode_BK,,https://pbs.twimg.com/profile_images/1256217094745657344/G8Byq6Ws_400x400.jpg
Girls Who Code Brooklyn,"New York City, New York",AMER-East,,Girls Who Code,Youth Education,Women,@GirlsWhoCodeBK,,https://pbs.twimg.com/profile_images/1256217094745657344/G8Byq6Ws_400x400.jpg
Girls Who Code HC,,AMER-East,,Girls Who Code,Youth Education,Women,@girlswhocode_hc,http://www.techchangers.org,https://pbs.twimg.com/profile_images/1256217094745657344/G8Byq6Ws_400x400.jpg
Girls Who Code NHS,,AMER-C-North,,Girls Who Code,Youth Education,Women,@GirlsWhoCodeNHS,https://docs.google.com/forms/d/1F7alJk8ZM0CFq-jJBP3Y7ocES9EGYZibethT90aTBq0/edit,https://pbs.twimg.com/profile_images/1256217094745657344/G8Byq6Ws_400x400.jpg
HarvardWomen in Tech + Allies,"Cambridge, Massachusett",AMER-East,,,General Technology,Women,@HarvardWIT,http://wit.abcd.harvard.edu/,
Houston Latinas in Tech,"Houston, Texas",AMER-C-South,,Latinas in Tech,General Technology,"Latinx,Women",,https://www.latinasintech.org/chapter/houston,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Lee’s Summit Girls Who Code,,AMER-C-South,,Girls Who Code,Youth Education,Women,@LSGirlsWhoCode,,https://pbs.twimg.com/profile_images/1256217094745657344/G8Byq6Ws_400x400.jpg
London Latinas in Tech,"London, England",EMEA-UKN,,Latinas in Tech,General Technology,"Latinx,Women",,https://www.latinasintech.org/chapter/london,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Los Angeles Latinas in Tech,"Los Angeles, California",AMER - West,,Latinas in Tech,General Technology,"Latinx,Women",,https://www.latinasintech.org/chapter/los-angeles,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
LZHS Girls Who Code,,AMER-C-North,,Girls Who Code,Youth Education,Women,@LZHSGWC,https://lzhsgirlswhocode.glitch.me/about.html,https://pbs.twimg.com/profile_images/1256217094745657344/G8Byq6Ws_400x400.jpg
Mexico Latinas in Tech,"Mexico City, Mexico",NASA-Latam,,Latinas in Tech,General Technology,"Latinx,Women",,https://www.latinasintech.org/chapter/mexico,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Miami Latinas in Tech,"Miami, Florida",AMER-East,,Latinas in Tech,General Technology,"Latinx,Women",,https://www.latinasintech.org/chapter/miami,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
MusesCodeJS,,APJ-ANZ,,,Javascript,Women,@BrisMuses,http://musescodejs.org,
New York City Latinas in Tech,"New York City, New York",AMER-East,,Latinas in Tech,General Technology,"Latinx,Women",,https://www.latinasintech.org/chapter/new-york-city,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
NYC PyLadies,"New York City, New York",AMER-East,,Pyladies,Python,Women,@NYCPyLadies,http://www.meetup.com/NYC-PyLadies/,https://github.com/pyladies/pyladies-assets/blob/master/geek/png/pylady_geek_full_standard.png?raw=true
Out in Tech : Indy,"Indianapolis, Indiana",AMER-C-North,,Out in Tech,General Technology,Women,@outintech_indy,https://www.outintech.com,https://pbs.twimg.com/profile_images/1218186973665550338/n5XxLkHt_400x400.jpg
Philly Tech Sistas,"Philadelphia, Pennsylvania",AMER-East,,,General Technology,"BIPOC,Women",,,
PyLadies Austin,"Austin, Texas",AMER-C-South,,Pyladies,Python,Women,@PyLadiesATX,http://www.meetup.com/PyLadies-ATX/,https://github.com/pyladies/pyladies-assets/blob/master/geek/png/pylady_geek_full_standard.png?raw=true
PyLadies Berlin,"Berlin, Germany",EMEA-C,,Pyladies,Python,Women,@PyLadiesBer,http://www.meetup.com/pyladies-berlin/,https://github.com/pyladies/pyladies-assets/blob/master/geek/png/pylady_geek_full_standard.png?raw=true
Pyladies London,"London, England",EMEA-UKN,,Pyladies,Python,Women,@PyLadiesLondon,http://meetup.com/pyladieslondon,https://github.com/pyladies/pyladies-assets/blob/master/geek/png/pylady_geek_full_standard.png?raw=true
PyLadies PDX,"Portland, Oregon",AMER - West,,Pyladies,Python,Women,@PyLadies_pdx,http://www.meetup.com/PyLadies-PDX/,https://github.com/pyladies/pyladies-assets/blob/master/geek/png/pylady_geek_full_standard.png?raw=true
PyLadies Remote,,Online Only,,Pyladies,Python,Women,@PyLadiesRemote,http://remote.pyladies.com,https://github.com/pyladies/pyladies-assets/blob/master/geek/png/pylady_geek_full_standard.png?raw=true
PyLadies San Diego,"San Diego, California",AMER - West,,Pyladies,Python,Women,@PyLadies_SD,http://meetup.com/sd-pyladies/,https://github.com/pyladies/pyladies-assets/blob/master/geek/png/pylady_geek_full_standard.png?raw=true
PyLadies SF,"San Francisco, California",AMER - West,,Pyladies,Python,Women,@pyladiessf,http://meetup.com/PyLadiesSF/,https://github.com/pyladies/pyladies-assets/blob/master/geek/png/pylady_geek_full_standard.png?raw=true
PyLadiesLA,"Los Angeles, California",AMER - West,,Pyladies,Python,Women,@PyLadiesLA,https://www.meetup.com/Pyladies-LA/,https://github.com/pyladies/pyladies-assets/blob/master/geek/png/pylady_geek_full_standard.png?raw=true
RailsGirlsManchester,"Manchester, England",EMEA-UKN,,,Ruby on Rails,Women,@RailsGirlsMCR,http://railsgirls.com/manchester,
Sacramento Latinas in Tech,"Sacramento, California",AMER - West,,Latinas in Tech,General Technology,"Latinx,Women",,https://www.latinasintech.org/chapter/sacramento,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Seattle Latinas in Tech,"Seattle, Washington",AMER - West,,Latinas in Tech,General Technology,"Latinx,Women",,https://www.latinasintech.org/chapter/seattle,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Seattle PyLadies,"Seattle, Washington",AMER - West,,Pyladies,Python,Women,@PyLadiesSEA,http://www.meetup.com/Seattle-PyLadies/,https://github.com/pyladies/pyladies-assets/blob/master/geek/png/pylady_geek_full_standard.png?raw=true
Silicon Valley Latinas in Tech,"San Francisco, California",AMER - West,,Latinas in Tech,General Technology,"Latinx,Women",,https://www.latinasintech.org/chapter/silicon-valley,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Skyline Girls Who Code,,AMER-C-South,,Girls Who Code,Youth Education,Women,@SkylineGWC,,https://pbs.twimg.com/profile_images/1256217094745657344/G8Byq6Ws_400x400.jpg
SoCal Pyladies,"Los Angeles, California",AMER - West,,Pyladies,Python,Women,@SoCalPyladies,http://socalpyladies.github.io/,https://github.com/pyladies/pyladies-assets/blob/master/geek/png/pylady_geek_full_standard.png?raw=true
Sync NI Women,"Belfast, Northern Ireland",EMEA-UKN,,,General Technology,Women,@SyncNIWomen,https://syncni.com/,
Tech By Choice,"Los Angeles, California",Online Only,,,General Technology,BIPOC,@TechByChoiceOrg,http://techbychoice.org,
Tech for the Culture,"Houston, Texas",AMER-C-South,"Reggie (One of the organizers) just recently joined Elastic and they are now meeting for their 2021 planning
",,General Technology,BIPOC,@techculturetx,,
Technologist of Color,,AMER-East,Recommended by Mosi Platt,,General Technology,BIPOC,,,
Techqueria LA,"Los Angeles, California",AMER - West,,Techqueria,General Technology,Latinx,@techqueriala,http://www.techqueria.org,https://d33wubrfki0l68.cloudfront.net/15f83262775e9891b7cdf0ab46a0b658d5625acd/e777e/assets/img/_logos/logo-square.png
Techqueria NYC 🌮🗽,"New York City, New York",AMER-East,,Techqueria,General Technology,Latinx,@TechqueriaNYC,http://techqueria.org/join,https://d33wubrfki0l68.cloudfront.net/15f83262775e9891b7cdf0ab46a0b658d5625acd/e777e/assets/img/_logos/logo-square.png
TLA Women in Tech,"London, England",EMEA-UKN,,,General Technology,Women,@TLAWomeninTech,http://www.tlawomenintech.org,
Utah Latinas in Tech,"Salt Lake City, Utah",AMER-C-North,,Latinas in Tech,General Technology,"Latinx,Women",,https://www.latinasintech.org/chapter/utah,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Washington D.C. Latinas in Tech,"Washington, DC",AMER-East,,Latinas in Tech,General Technology,"Latinx,Women",,https://www.latinasintech.org/chapter/washington-dc,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
WoMakersCode,"Rio De Janeiro, Brazil",Brazil,,,General Technology,Women,,,
Women in Cyber Security Middle East,,,,Women in Cyber Security (WiCyS),Security,Women,@WiCSME,,https://pbs.twimg.com/profile_images/1031603712341561344/V2k_d3ny_400x400.jpg
Women in Cybersecurity (WiCyS) Florida,"Orlando, Florida",AMER-East,,Women in Cyber Security (WiCyS),Security,Women,@WiCyS_Florida,,https://pbs.twimg.com/profile_images/1031603712341561344/V2k_d3ny_400x400.jpg
Women in Tech - Charleston,"Charleston, South Carolina",AMER-East,,,General Technology,Women,@CHSWomenInTech,http://chswomenintech.org,
Women In Tech Belfast,"Belfast, Northern Ireland",EMEA-UKN,,,General Technology,Women,@womenintech_bfs,https://www.meetup.com/Women-In-Tech-Belfast-Lean-In/,
Women in Tech Cymru,"Cardiff, Wales",EMEA-UKN,,,General Technology,Women,@CymruTech,,
Women in Technology Uganda #WomenInSTEM,,EMEA-S,,,General Technology,Women,@wituganda,http://www.witug.org,
Women Tech Space,,EMEA-UKN,,,General Technology,Women,@womentechspace,https://www.womentechspace.com,
Women Who Code - Boulder/Denver,"Denver, Colorado",AMER - West,,Women Who Code,General Technology,Women,,,https://pbs.twimg.com/profile_images/1145752735914037249/GhbLGaYH_400x400.jpg
Women Who Code - San Diego,"San Diego, California",AMER - West,,Women Who Code,General Technology,Women,,,https://pbs.twimg.com/profile_images/1145752735914037249/GhbLGaYH_400x400.jpg
Women Who Code - Silicon Valley,"San Francisco, California",AMER - West,,Women Who Code,General Technology,Women,,,https://pbs.twimg.com/profile_images/1145752735914037249/GhbLGaYH_400x400.jpg
Women Who Code BFS,"Belfast, Northern Ireland",EMEA-UKN,,Women Who Code,General Technology,Women,@WWCodeBelfast,http://www.womenwhocode.com/belfast,https://pbs.twimg.com/profile_images/1145752735914037249/GhbLGaYH_400x400.jpg
